subject,relation,object,sentence,source_url
Herbert,dedicate,work,"""[16]
Herbert dedicated his work ""to the people whose labors go beyond ideas into the realm of 'real materials'—to the dry-land ecologists, wherever t",https://en.wikipedia.org/wiki/Dune_(novel)
qui,introduisent,Cromwell,"Au théâtre, Victor Hugo s'impose comme un des chefs de file du romantisme français en présentant sa conception du drame romantique dans les préfaces q",https://fr.wikipedia.org/wiki/Victor_Hugo
il,passe,enfance,"Dernier d'une famille de trois garçons après Abel Joseph et Eugène, il passe son enfance à Paris, au 8 rue des Feuillantines, dans un logement loué da",https://fr.wikipedia.org/wiki/Victor_Hugo
Hugo,rejoint,mari,"Ainsi, en 1811, alors que Madame Hugo rejoint son mari, la famille fait halte à Hernani, ville du Pays basque espagnol",https://fr.wikipedia.org/wiki/Victor_Hugo
elle,entretient,liaison,"En 1812, il s'installe à Paris avec sa mère qui s'est séparée de son mari, car elle entretient une liaison avec le général d'Empire Victor Fanneau de ",https://fr.wikipedia.org/wiki/Victor_Hugo
que,procure,l’étude,"En 1817, Victor Hugo a quinze ans lorsqu'il participe à un concours de poésie organisé par l'Académie française, sur le thème Bonheur que procure l’ét",https://fr.wikipedia.org/wiki/Victor_Hugo
il,fonde,ultraroyaliste,"Avec ses frères Abel et Eugène, il fonde en 1819 une revue ultraroyaliste, Le Conservateur littéraire, qui attire déjà l’attention sur son talent.",https://fr.wikipedia.org/wiki/Victor_Hugo
qui,attire,l’attention,"Avec ses frères Abel et Eugène, il fonde en 1819 une revue ultraroyaliste, Le Conservateur littéraire, qui attire déjà l’attention sur son talent.",https://fr.wikipedia.org/wiki/Victor_Hugo
Hugo,publie,roman,"Hugo publie son premier roman, Han d'Islande, en 1823 (une première version avait déjà vu le jour en 1820).",https://fr.wikipedia.org/wiki/Victor_Hugo
Ils,déménagent,Dame,"Ils déménagent pour le 90 rue de Vaugirard[b], appartement où leur fille Léopoldine naît, en . L'arrivée de leur fils Charles, en , fait déménager la ",https://fr.wikipedia.org/wiki/Victor_Hugo
Cromwell,fait,éclat,"Ils déménagent pour le 90 rue de Vaugirard[b], appartement où leur fille Léopoldine naît, en . L'arrivée de leur fils Charles, en , fait déménager la ",https://fr.wikipedia.org/wiki/Victor_Hugo
qui,entouré,rédaction,"Adèle Foucher, délaissée dans le tourbillon qui a entouré la rédaction, les répétitions, les représentations et le triomphe d'Hernani, se rapproche du",https://fr.wikipedia.org/wiki/Victor_Hugo
Foucher,rapproche,couple,"Adèle Foucher, délaissée dans le tourbillon qui a entouré la rédaction, les répétitions, les représentations et le triomphe d'Hernani, se rapproche du",https://fr.wikipedia.org/wiki/Victor_Hugo
Adèle,avoue,infidélité,"Adèle Foucher, délaissée dans le tourbillon qui a entouré la rédaction, les répétitions, les représentations et le triomphe d'Hernani, se rapproche du",https://fr.wikipedia.org/wiki/Victor_Hugo
Hugo,rencontre,Berlioz,"Au cours de ces séjours, Hugo rencontre Berlioz, Chateaubriand, Liszt, Meyerbeer, et rédige des recueils de poésie, dont Les Feuilles d'automne.",https://fr.wikipedia.org/wiki/Victor_Hugo
